737.253,0.099,0.018,9.714,0.313,12.788,0.163,4.08,0.75,1.9,0.35,76,9,3.09,1.54,90,0.019

736.831,0.172,0.021,9.771,0.201,12.844,0.096,3.87,0.47,1.84,0.22,88,6,3.09,1.54,90,0.022

736.41,0.237,0.022,9.753,0.167,12.868,0.07,4.14,0.39,1.73,0.16,89,4,3.09,1.54,90,0.023

735.989,0.223,0.021,9.889,0.167,12.812,0.068,4.11,0.39,1.66,0.16,90,4,3.09,1.54,90,0.022

735.567,0.176,0.019,10.067,0.165,12.676,0.078,3.54,0.39,1.66,0.18,93,5,3.09,1.54,90,0.019

735.146,0.11,0.018,10.076,0.295,12.739,0.132,4.14,0.69,1.85,0.31,92,8,3.09,1.54,90,0.019

733.882,0.128,0.022,9.785,0.276,12.955,0.141,3.85,0.65,1.95,0.33,93,9,3.09,1.54,90,0.022

722.083,0.189,0.021,0.148,0.17,-0.007,0.086,3.66,0.4,1.84,0.2,94,6,3.09,1.54,90,0.021

721.662,0.416,0.024,-0.099,0.094,0.01,0.041,3.91,0.22,1.72,0.1,93,2,3.09,1.54,90,0.024

721.241,0.721,0.023,-0.058,0.049,0.02,0.022,3.61,0.12,1.62,0.05,92,1,3.09,1.54,90,0.023

720.819,0.879,0.023,-0.02,0.039,0.026,0.018,3.53,0.09,1.6,0.04,93,1,3.09,1.54,90,0.023

720.398,0.892,0.022,-0.018,0.037,0.023,0.016,3.57,0.09,1.55,0.04,93,1,3.09,1.54,90,0.022

719.977,0.826,0.022,-0.02,0.04,0.003,0.018,3.56,0.09,1.57,0.04,94,1,3.09,1.54,90,0.022

719.555,0.667,0.021,-0.096,0.042,-0.016,0.022,3.1,0.1,1.6,0.05,98,2,3.09,1.54,90,0.021

719.134,0.506,0.022,-0.03,0.06,0.001,0.03,3.24,0.14,1.55,0.07,99,2,3.09,1.54,90,0.022

718.712,0.4,0.021,-0.002,0.078,-0.014,0.036,3.47,0.18,1.61,0.09,93,3,3.09,1.54,90,0.021

718.291,0.359,0.021,0.037,0.091,-0.046,0.042,3.66,0.22,1.65,0.1,94,3,3.09,1.54,90,0.021

717.87,0.385,0.022,0.108,0.091,-0.175,0.042,3.73,0.21,1.71,0.1,94,3,3.09,1.54,90,0.023

717.448,0.516,0.022,0.11,0.064,-0.322,0.03,3.6,0.15,1.63,0.07,97,2,3.09,1.54,90,0.022

717.027,0.776,0.022,0.208,0.042,-0.414,0.02,3.52,0.1,1.6,0.04,97,1,3.09,1.54,90,0.022

716.606,0.975,0.022,0.276,0.034,-0.46,0.015,3.6,0.08,1.59,0.04,96,1,3.09,1.54,90,0.022

716.184,0.969,0.022,0.3,0.036,-0.479,0.016,3.74,0.08,1.61,0.04,96,1,3.09,1.54,90,0.022

715.763,0.977,0.023,0.284,0.037,-0.472,0.017,3.69,0.09,1.64,0.04,94,1,3.09,1.54,90,0.024

715.342,1.065,0.024,0.285,0.035,-0.476,0.016,3.6,0.08,1.62,0.04,93,1,3.09,1.54,90,0.024

714.92,0.977,0.024,0.256,0.039,-0.487,0.017,3.66,0.09,1.63,0.04,92,1,3.09,1.54,90,0.025

714.499,0.791,0.024,0.227,0.046,-0.45,0.021,3.65,0.11,1.66,0.05,94,1,3.09,1.54,90,0.024

