670.255;11.9865;8.9494;27868467.9718137
669.834;11.8975;8.8834;27627305.8167812
669.412;11.8525;8.8694;27509949.3182836
668.991;11.8735;8.8974;27537705.1214396
668.569;11.7625;8.8814;27320716.0385538
666.884;12.2175;8.8614;27835792.7571014
666.884;12.4305;8.9104;28207292.408256
666.041;10.6955;7.8914;24452023.5046749
665.62;10.4335;7.7644;23895429.4785537
665.198;10.3285;7.7514;23696521.619158
664.777;10.2935;7.7044;23563549.9921495
664.356;10.2935;7.6904;23518368.0977279
663.934;10.0535;7.6054;23044445.4311808
598.201;15.6525;9.1364;26895472.3118319
597.779;15.5735;9.1814;26790303.5823072
597.358;15.6255;9.1524;26797182.1672044
596.937;15.6755;9.1334;26809058.3655695
566.597;-0.964;-1.058;1905537.59149324
566.176;-0.676;-0.435;1068613.75465614
565.755;-0.105;0.14;232289.129090144
565.333;1.59;0.97;2468566.66199918
564.912;1.992;0.799;2840400.12886978
564.491;-0.179;-0.19;344946.9672113
564.069;-0.361;-0.416;726758.009189824
563.648;0.045;-0.107;152931.957526656
563.227;0;0;0
562.805;0.556;0.346;860208.341120037
561.12;-0.487;-0.203;688910.791117633
560.699;0.127;0.071;189694.189143527
560.278;0.547;0.337;836371.92466838
559.856;0.826;0.287;1136623.51246797
559.435;0.639;0.005;829368.345550411
559.014;0.366;-0.213;548781.957132298
558.592;0.376;-0.182;540531.706829619
558.171;0.573;-0.047;742812.614635498
557.75;0.76;0.014;980619.350172581
557.329;0.736;-0.01;948145.997175946
556.907;0.711;-0.05;916727.419524151
556.486;0.693;-0.051;892377.556218783
556.065;0.727;0.006;932254.218615402
555.643;0.799;0.006;1023021.48440419
555.222;0.905;0.06;1159493.50336187
554.801;1.011;0.185;1311932.8353558
554.379;1.128;0.254;1473659.12794994
553.958;1.37;0.241;1770215.19829687
553.537;0.736;0.109;945401.671024346
553.116;-0.011;0.13;165523.253518491
552.694;1.696;0.619;2287094.7532912
552.273;1.907;0.628;2539509.46179721
551.852;1.208;0.339;1584554.429996
551.43;0.895;0.36;1216472.15516184
551.009;1.099;0.4;1472525.68513473
550.588;1.4;0.449;1848312.0087126
550.166;1.317;0.473;1756515.75644197
549.745;1.499;0.511;1984864.84758746
549.324;1.712;0.485;2226682.15763492
548.903;1.679;0.421;2162801.12502818
548.481;1.083;0.365;1425764.35575083
548.06;0.802;0.44;1139467.97004357
547.639;0.818;0.348;1105602.41792734
547.217;0.784;0.418;1103306.70232969
546.657;1.071;0.553;1493737.38835533
543.289;-51.308;-33.562;75045961.4675331
542.447;-51.114;-33.461;74547955.8622985
541.605;-50.822;-33.43;73999039.5726375
540.763;-50.721;-33.536;73737655.9722812
539.921;-50.719;-33.655;73585633.6493521
539.079;-50.752;-33.853;73521584.9404463
