737.253 2.1070000000000846 -0.3620000000000001 0.04899999999999949 6.725340225654327
736.831 1.6850000000000591 -0.3049999999999997 0.10499999999999865 3.797999367297391
736.41 1.26400000000001 -0.3230000000000004 0.12899999999999956 2.304448588399815
735.989 0.8430000000000746 -0.18700000000000117 0.07299999999999862 0.5916037672752843
735.567 0.4210000000000491 -0.009000000000000341 -0.06300000000000061 0.04677628626260064
735.146 0.0 0.0 0.0 0.0
733.882 -1.26400000000001 -0.29100000000000037 0.2159999999999993 2.4011634788370695
722.083 -13.062999999999988 -9.928 -12.746 11433.034752773106
721.662 -13.483999999999924 -10.175 -12.729000000000001 12287.153154611098
721.241 -13.904999999999973 -10.134 -12.719000000000001 13039.621408215375
720.819 -14.326999999999998 -10.096 -12.713000000000001 13818.971638001049
720.398 -14.747999999999934 -10.094000000000001 -12.716000000000001 14644.044654846513
719.977 -15.168999999999983 -10.096 -12.736 15508.180314912304
719.555 -15.591000000000008 -10.172 -12.755 16445.726118099483
719.134 -16.011999999999944 -10.106 -12.738000000000001 17288.048388888317
718.712 -16.43399999999997 -10.078000000000001 -12.753 18205.021375510274
718.291 -16.854999999999905 -10.039 -12.785 19150.8906774171
717.87 -17.275999999999954 -9.968 -12.914000000000001 20191.53414261672
717.448 -17.69799999999998 -9.966000000000001 -13.061 21339.91130603032
717.027 -18.118999999999915 -9.868 -13.153 22386.63559485586
716.606 -18.539999999999964 -9.8 -13.199000000000002 23433.61226134984
716.184 -18.96199999999999 -9.776 -13.218 24513.98152149743
715.763 -19.382999999999925 -9.792 -13.211 25620.667505802918
715.342 -19.803999999999974 -9.791 -13.215 26749.978047069642
714.92 -20.226 -9.82 -13.226 27946.442874322758
714.499 -20.646999999999935 -9.849 -13.189 29100.10458237945
714.077 -21.06899999999996 -9.876000000000001 -13.172 30306.52487204309
713.656 -21.49000000000001 -9.882 -13.179 31547.412805350035
713.235 -21.910999999999945 -9.869 -13.184000000000001 32788.02815239438
712.813 -22.33299999999997 -9.859 -13.184000000000001 34050.77684682507
712.392 -22.753999999999905 -9.825000000000001 -13.16 35261.68643564154
711.971 -23.174999999999955 -9.758000000000001 -13.203000000000001 36566.49541125447
711.549 -23.59699999999998 -9.916 -13.071000000000002 37885.016407773976
711.128 -24.017999999999915 -9.975 -12.924000000000001 39055.40022871561
710.706 -24.43999999999994 -10.091000000000001 -12.466000000000001 39728.006393209274
710.285 -24.86099999999999 -10.167 -12.175 40656.0571655714
709.864 -25.281999999999925 -10.162 -12.232000000000001 42152.278855428456
709.442 -25.70399999999995 -10.117 -12.473 44003.36608105369
709.021 -26.125 -10.054 -12.691 45826.524709795674
708.6 -26.545999999999935 -10.030000000000001 -12.807 47538.30254809268
708.178 -26.96799999999996 -10.075000000000001 -12.866000000000001 49285.518897769616
707.757 -27.38900000000001 -10.112 -12.824000000000002 50804.71482441326
707.335 -27.810999999999922 -10.127 -12.527000000000001 51667.89222505052
706.914 -28.23199999999997 -10.154 -12.253 52599.697033228025
706.493 -28.652999999999906 -10.194 -12.151000000000002 54000.633903713395
706.071 -29.074999999999932 -10.153 -12.099 55370.94786710093
705.65 -29.49599999999998 -10.115 -12.093 56881.43612783808
705.229 -29.916999999999916 -10.191 -12.134 58814.60769194089
704.807 -30.338999999999942 -10.102 -12.261000000000001 60640.97840937002
704.386 -30.75999999999999 -10.083 -12.34 62527.977814909515
703.965 -31.180999999999926 -10.075000000000001 -12.442 64549.96820074152
703.543 -31.602999999999952 -10.036000000000001 -12.483 66339.74176417457
703.122 -32.024 -10.038 -12.434000000000001 67962.06345846415
702.7 -32.44599999999991 -10.079 -12.439 69894.55467378133
702.279 -32.86699999999996 -10.079 -12.382000000000001 71521.9296726699
701.858 -33.28800000000001 -10.087 -12.241000000000001 72887.96522218603
701.436 -33.70999999999992 -10.118 -12.165000000000001 74564.99763464306
701.015 -34.13099999999997 -10.164 -12.142000000000001 76496.15274393265
700.594 -34.55199999999991 -10.189 -12.14 78466.84489252004
700.172 -34.97399999999993 -10.173 -12.125 80284.79935449168
699.751 -35.39499999999998 -10.155000000000001 -12.111 82113.46646284308
699.329 -35.81700000000001 -10.145000000000001 -12.111 84048.97679860421
698.908 -36.23799999999994 -10.132 -12.099 85940.88912706141
698.908 -36.23799999999994 -11.055 -14.249 98213.03767715707
698.487 -36.65899999999999 -10.122 -12.092 87883.66045565157
698.487 -36.65899999999999 -10.918000000000001 -14.233 99971.33012710568
698.065 -37.080999999999904 -10.136000000000001 -12.097000000000001 89991.76490306413
698.065 -37.080999999999904 -10.717 -14.253 101683.83174296659
697.644 -37.50199999999995 -10.182 -12.110000000000001 92277.36848568825
697.644 -37.50199999999995 -10.616 -14.200000000000001 103405.19143083198
697.223 -37.923 -10.181000000000001 -12.138000000000002 94484.86719878673
697.223 -37.923 -10.688 -14.198 105988.03697283272
696.801 -38.344999999999914 -10.236 -12.190000000000001 97057.8472758265
696.801 -38.344999999999914 -10.627 -14.236 108322.28989935775
696.38 -38.76599999999996 -10.13 -12.260000000000002 99113.19318548132
696.38 -38.76599999999996 -10.387 -14.268 109986.92422273259
695.959 -39.18700000000001 -10.019 -12.294 100996.59822645002
695.959 -39.18700000000001 -10.747 -14.312000000000001 113977.14999399628
695.537 -39.608999999999924 -9.952 -12.328000000000001 103080.75414498764
695.537 -39.608999999999924 -11.005 -14.438 118111.69594536778
695.116 -40.02999999999997 -10.014000000000001 -12.350000000000001 105656.462556215
694.694 -40.452 -10.018 -12.371 108023.69330958769
694.273 -40.872999999999934 -10.005 -12.411000000000001 110442.83632356551
