737.253;11.97;15.715;44528104.2914887
736.831;12.027;15.771;44655214.684065
736.41;12.009;15.795;44622618.6267879
735.989;12.145;15.739;44657516.8880922
735.567;12.323;15.603;44611556.4756433
735.146;12.332;15.666;44683869.1436377
733.882;12.041;15.882;44514759.4960168
722.083;2.404;2.92;8178272.14012892
721.662;2.157;2.937;7870061.91766043
721.241;2.198;2.947;7930839.2906404
720.819;2.236;2.953;7981086.88593419
720.398;2.238;2.95;7969221.13825359
719.977;2.236;2.93;7923091.01443692
719.555;2.16;2.911;7783085.34487074
719.134;2.226;2.928;7888140.73921209
718.712;2.254;2.913;7889892.65588995
718.291;2.293;2.881;7878306.27012409
717.87;2.364;2.752;7753299.98021803
717.448;2.366;2.605;7511817.57312902
717.027;2.464;2.513;7503756.70388092
716.606;2.532;2.467;7528349.34681812
716.184;2.556;2.448;7528122.78783613
715.763;2.54;2.455;7505089.7728587
715.342;2.541;2.451;7491894.15954907
714.92;2.512;2.44;7422675.36540961
714.499;2.483;2.477;7425133.77226891
714.077;2.456;2.494;7401625.7678473
713.656;2.45;2.487;7373474.85703127
713.235;2.463;2.482;7376559.21082065
712.813;2.473;2.482;7382690.05436747
712.392;2.507;2.506;7460274.68519975
711.971;2.574;2.463;7488951.5997835
711.549;2.416;2.595;7444404.6718176
711.128;2.357;2.742;7582877.66297055
710.706;2.241;3.2;8183156.86296003
710.285;2.165;3.491;8594335.07651257
709.864;2.17;3.434;8488732.34552571
709.442;2.215;3.193;8111057.80555907
709.021;2.278;2.975;7811498.94957679
708.6;2.302;2.859;7643105.53325432
708.178;2.257;2.8;7479733.9119836
707.757;2.22;2.842;7491411.23788617
707.335;2.205;3.139;7959202.80135018
706.914;2.178;3.413;8390474.55965007
706.493;2.138;3.515;8515896.62780674
706.071;2.179;3.567;8641641.65235527
705.65;2.217;3.573;8683029.42454986
705.229;2.141;3.532;8518633.54737437
704.807;2.23;3.405;8384852.08905245
704.386;2.249;3.326;8261172.99296334
703.965;2.257;3.224;8087922.74792037
703.543;2.296;3.183;8056000.15633874
703.122;2.294;3.232;8125675.02740707
702.7;2.253;3.227;8059223.03187271
702.279;2.253;3.284;8145431.49715286
701.858;2.245;3.425;8365800.27577607
701.436;2.214;3.501;8451884.55928886
701.015;2.168;3.524;8431897.45500292
700.594;2.143;3.526;8398699.00631767
700.172;2.159;3.541;8431546.85163007
699.751;2.177;3.555;8464726.20240974
699.329;2.187;3.555;8465128.92987959
698.908;2.2;3.567;8489448.05135308
698.908;1.277;1.417;3864046.02250626
698.487;2.21;3.574;8501904.70159051
698.487;1.414;1.433;4073172.76265235
698.065;2.196;3.569;8468182.46399794
698.065;1.615;1.413;4336415.27771743
697.644;2.15;3.556;8387223.28426102
697.644;1.716;1.466;4555365.3960049
697.223;2.151;3.528;8329900.35454055
697.223;1.644;1.468;4443196.01573147
696.801;2.096;3.476;8172872.35622649
696.801;1.705;1.43;4480624.97288981
696.38;2.202;3.406;8156518.27752862
696.38;1.945;1.398;4817095.72751821
695.959;2.313;3.372;8213420.67722864
695.959;1.585;1.354;4187195.82353022
695.537;2.38;3.338;8224604.28034063
695.537;1.327;1.228;3627239.1651672
695.116;2.318;3.316;8106985.84266763
694.694;2.314;3.295;8058131.53651787
694.273;2.327;3.255;7998151.56037004
693.852;2.357;3.266;8041233.38262344
693.43;2.406;3.281;8113123.76803528
693.009;2.408;3.223;8012797.03476124
692.588;2.18;3.334;7923999.76981028
692.166;2.283;3.279;7938244.43526901
692.166;1.314;1.162;3485033.97793139
691.745;2.389;3.237;7983420.75319833
691.745;1.388;1.095;3508250.84250622
691.323;2.362;3.263;7983707.79788283
691.323;1.442;1.204;3723236.69046716
690.902;2.361;3.245;7943986.20775078
690.481;2.37;3.211;7890603.67365309
690.481;1.125;0.992;2965505.56203783
690.059;2.266;3.189;7725306.71074059
690.059;1.098;0.992;2922103.67269593
689.638;2.493;3.074;7806116.30874967
689.217;2.522;3.179;7993684.00657848
688.795;2.912;2.697;7809141.03460589
688.374;2.332;3.242;7847779.55472539
687.952;2.347;3.162;7728751.51750061
685.003;2.436;2.321;6547326.59989856
685.003;2.445;2.315;6551984.23996463
684.582;2.204;2.428;6373027.18666868
684.16;2.345;2.436;6563444.14343022
679.104;1.958;1.771;5049279.22740651
678.682;1.972;1.843;5155780.0492054
677.84;1.87;1.667;4773342.40887441
677.418;1.901;1.79;4969044.03412231
676.997;2.024;1.978;5378959.78474138
676.575;2.08;2.074;5575937.21776529
676.154;2.041;2.17;5648058.77393948
675.733;2.033;2.233;5718299.54308945
675.311;2.049;2.253;5759500.61183408
674.89;2.057;2.274;5791854.60545061
